name,pos,team,adp,ecr,proj,tier,fp_adp,yahoo_adp
Jaydon Blue,RB,DAL,202.0,305,0,10,202.0,
Rashod Bateman,WR,BAL,142.3,191,0,8,209.0,
Los Angeles Chargers,DEF,LAC,204.9,215,108.6,8,199.0,217.0
Minnesota Vikings,DEF,MIN,183.0,209,112.8,8,180.0,189.0
Brandon Aubrey,K,DAL,129.0,204,153.0,8,120.7,82.0
Baltimore Ravens,DEF,BAL,204.6,208,0,8,200.0,214.0
Ka'imi Fairbairn,K,HOU,128.0,220,144.1,8,146.0,123.0
Cameron Dicker,K,LAC,139.4,213,143.7,8,148.0,135.0
Darnell Mooney,WR,NYG,216.0,226,0,8,216.0,
Troy Franklin,WR,DEN,217.0,245,0,9,217.0,
Kansas City Chiefs,DEF,KC,227.9,221,0,8,238.7,206.0
Cam Little,K,JAC,156.4,222,0,8,165.3,172.0
Jason Myers,K,SEA,125.1,224,150.4,8,153.0,137.0
Fernando Mendoza,QB,LV,155.5,237,0,8,169.0,128.0
Cooper Kupp,WR,SEA,155.5,219,0,8,203.0,129.0
Tyler Loop,K,BAL,162.3,227,0,8,205.0,218.0
Jaylen Wright,RB,MIA,242.0,218,0,8,242.0,
Green Bay Packers,DEF,GB,214.8,235,0,8,214.7,215.0
Eddy Pineiro,K,SF,166.4,229,132.6,8,204.0,222.0
Colby Parkinson,TE,LAR,227.0,260,0,9,227.0,
Jake Bates,K,DET,146.5,228,135.9,8,188.0,216.0
George Holani,RB,SEA,220.0,223,0,8,220.0,
Buffalo Bills,DEF,BUF,208.8,236,106.6,8,219.5,187.0
Evan Engram,TE,DEN,231.0,234,0,8,231.0,
Germie Bernard,WR,PIT,261.5,230,0,8,261.5,
David Njoku,TE,LAC,167.6,246,0,9,181.7,139.0
Cairo Santos,K,CHI,160.2,247,133.3,9,245.0,224.0
Detroit Lions,DEF,DET,217.6,241,106.8,9,220.3,212.0
Harrison Mevis,K,LAR,141.1,243,136.9,9,190.0,204.0
Ollie Gordon II,RB,MIA,237.0,257,0,9,237.0,
Zachariah Branch,WR,ATL,209.5,214,0,8,209.5,
Tua Tagovailoa,QB,ATL,230.5,258,0,9,230.5,
Chase McLaughlin,K,TB,150.1,249,132.9,9,224.3,219.0
Justice Hill,RB,BAL,209.0,225,0,8,209.0,
Malachi Fields,WR,NYG,212.5,211,0,8,212.5,
Devaughn Vele,WR,NO,243.0,231,0,8,243.0,
Jack Bech,WR,LV,244.0,253,0,9,244.0,
Evan McPherson,K,CIN,164.9,255,0,9,226.0,221.0
Andy Borregales,K,NE,220.3,252,0,9,219.0,223.0
Antonio Williams,WR,WAS,259.5,444,0,12,259.5,
Demond Claiborne,RB,MIN,234.5,240,0,9,234.5,
Isaiah Davis,RB,NYJ,249.0,265,0,9,249.0,
Elic Ayomanor,WR,TEN,250.0,266,0,9,250.0,
